#OTU ID	KO1	KO2	KO3	KO4	KO5	KO6	OE1	OE2	OE3	OE4	OE5	OE6	WT1	WT2	WT3	WT4	WT5	WT6
ASV_264	14	48	17	10	4	14	19	26	13	31	17	16	26	17	11	19	20	16
ASV_271	27	23	8	9	5	18	43	24	23	16	22	41	12	8	9	14	17	17
ASV_288	14	18	17	17	12	17	21	26	13	11	28	31	25	19	19	15	18	15
ASV_258	10	8	14	64	39	7	1	7	62	27	5	7	13	28	6	4	25	9
ASV_283	25	26	11	12	8	10	24	14	16	13	24	24	18	27	22	13	31	16
ASV_241	11	7	32	9	8	7	31	14	21	27	20	21	14	7	36	19	5	45
ASV_421	21	5	7	10	11	11	6	10	30	39	17	31	6	35	25	39	6	22
ASV_239	19	14	23	14	39	20	11	11	13	5	23	9	30	27	10	23	18	21
ASV_253	22	13	22	37	26	39	7	14	14	12	12	11	16	35	8	17	18	7
ASV_257	26	31	19	21	31	37	11	12	10	10	12	23	14	16	8	21	17	11
ASV_260	21	20	17	13	4	11	30	25	21	12	14	27	25	18	21	15	10	23
ASV_267	21	15	26	14	47	14	8	12	10	9	16	10	20	29	20	18	16	20
ASV_262	23	21	10	9	9	31	16	12	5	13	16	35	10	25	19	16	10	42
ASV_278	18	20	30	17	40	13	9	24	13	10	25	15	20	16	12	7	14	18
ASV_324	19	7	17	24	12	33	7	7	27	15	18	22	32	19	10	15	25	11
ASV_280	22	16	20	35	19	15	25	16	13	16	15	14	14	15	15	23	11	15
ASV_306	18	18	29	9	19	20	24	16	11	16	10	11	12	9	46	25	6	17
ASV_284	11	17	17	9	12	43	11	27	5	42	12	33	8	4	10	31	10	12
ASV_291	19	13	16	11	25	21	15	8	33	17	8	15	32	16	15	14	18	17
ASV_300	8	21	42	11	8	13	15	32	17	19	9	17	15	12	26	18	11	16
ASV_327	24	13	2	15	5	13	35	25	12	19	21	31	16	14	17	13	11	23
ASV_268	24	4	16	15	9	18	11	53	11	15	23	21	10	9	7	14	20	28
ASV_277	14	15	70	24	10	15	9	13	14	16	9	19	13	12	14	19	8	13
ASV_285	21	14	10	14	5	19	12	21	25	14	18	24	11	17	19	27	11	25
ASV_321	12	28	22	19	17	21	14	18	12	16	15	17	15	13	22	16	10	20
ASV_275	11	19	60	0	0	29	1	7	8	28	4	13	5	59	2	46	6	9
ASV_269	25	8	27	23	25	12	6	9	4	23	24	18	12	14	18	24	20	15
ASV_322	33	23	129	10	2	28	11	8	14	11	3	3	3	1	12	4	6	5
ASV_272	22	8	4	21	5	9	16	15	21	32	14	28	10	17	30	23	13	17
ASV_270	24	14	2	12	24	39	11	15	12	9	21	25	11	10	26	27	7	15
ASV_287	10	11	24	17	8	29	26	18	14	8	32	25	6	19	22	22	6	5
ASV_342	21	23	9	18	17	16	23	14	12	14	28	33	17	9	19	8	13	8
ASV_305	10	10	10	15	12	11	39	7	10	26	16	16	10	25	19	23	24	18
ASV_282	19	7	53	19	36	25	6	37	5	5	12	12	9	7	17	3	15	12
ASV_331	16	31	21	17	27	22	11	8	17	6	15	15	7	19	16	14	20	15
ASV_297	20	11	6	4	5	34	53	18	10	11	24	27	12	12	15	7	16	11
ASV_312	19	14	21	34	48	15	18	18	3	10	11	16	6	6	20	12	17	7
ASV_314	10	13	7	6	10	26	6	18	27	29	14	33	19	8	14	30	10	15
ASV_307	28	26	48	13	26	23	5	9	5	12	19	8	7	10	21	15	7	11
ASV_323	7	30	18	29	17	14	12	20	12	11	8	22	25	10	13	15	22	8
ASV_292	20	21	21	6	50	14	15	24	8	6	11	8	8	5	40	16	9	9
ASV_296	13	3	2	12	4	3	6	27	6	49	45	17	2	16	13	45	8	19
ASV_308	28	17	1	16	67	15	23	24	5	11	11	15	16	17	5	10	2	7
ASV_302	8	6	1	6	5	4	24	23	28	18	29	21	18	15	24	20	16	23
ASV_316	6	12	6	11	2	8	12	8	4	18	10	12	11	16	25	23	6	98
ASV_303	26	16	0	2	1	11	11	19	54	17	9	25	19	1	9	4	6	58
ASV_311	9	8	12	9	6	3	34	29	22	41	16	7	6	22	21	11	15	14
ASV_310	8	12	9	8	4	8	24	24	9	34	13	48	2	4	3	6	53	14
ASV_356	9	18	14	12	8	11	21	21	17	13	18	14	20	18	13	22	16	17
ASV_317	62	5	79	8	0	7	5	8	10	9	12	27	1	5	11	25	2	3
ASV_295	18	13	14	22	13	12	20	19	10	13	13	26	19	15	10	13	11	17
ASV_351	29	0	3	25	11	12	46	12	26	17	16	40	7	8	5	8	4	8
ASV_345	19	23	4	18	0	7	30	23	20	13	14	20	20	6	21	9	9	19
ASV_304	11	18	8	10	1	5	30	16	23	13	21	15	13	16	16	20	16	22
ASV_290	16	23	11	11	21	19	19	12	14	14	18	12	9	4	27	17	11	15
ASV_2250	63	10	16	22	16	20	7	5	13	18	4	7	9	15	10	11	12	13
